NO,제목,공감/비공감,조회수,등록일,카테고리,세분화
7803,북한학과 박사 논문 연구계획서 불합격 제도 시정 요구,0 / 0,72,2024.03.06,대학,
7802,IT 사설강의 '인프런'과 대학 제휴 협약을 맺어주세요,28 / 0,172,2024.02.13,학생지원,학술지원
7801,학점 포기제 일부 허용 건의,0 / 0,9,2024.01.29,행정지원,학교관련 제도
7800,편입학 제도 개선 관련 문의,0 / 0,2,2024.01.23,행정지원,학교관련 제도
7799,기숙사 통금 시간 연장 건의,286 / 2,1013,2024.01.19,생활지원,기숙사
7798,계리사 합격장려금 지원 건의,27 / 0,156,2024.01.11,학생지원,고시지원
7797,"본교에서도 통합과정의 박사과정생 또는 박사수료자가 박사학위논문을 청구하기 직전까지 ""석사졸에 준 한 자격을 갖추었음""을 증명할 수 있는 서류를 발급해주시길 건의드립니다.",21 / 0,157,2024.01.09,행정지원,학교관련 제도
7796,"18학년도 입학자 입니다 스페인어 2를 들어야 졸업할 수 있는데, 이제는 계절로도 열리지 않는다고 합니다. 졸업할 길을 열어주세요…",0 / 0,89,2024.01.03,대학,입학 및 학사운영
7795,마이유레카 모바일 웹 버전 개선 부탁드립니다,4 / 0,100,2023.12.05,기타,
7794,법정의무교육 수강에 대한 제도 구축을 건의합니다,2 / 0,64,2023.12.01,행정지원,학교관련 제도
7793,교내 식당 품질을 개선해주세요.,1 / 0,89,2023.11.25,생활지원,식당
7792,교내 셔틀 버스 불편함에 대해 건의합니다,0 / 0,2,2023.11.21,기타,
7791,정책과학대학원 內 '문화예술정책학' 학과의 명칭에 대해…,2 / 1,97,2023.11.15,대학,
7790,법학관 물리적 방역 및 이씨씨 열람실의 주기적 환기를 부탁드립니다.,0 / 0,78,2023.11.03,생활지원,공간사용
7789,중앙도서관 대학원 휴학생 최대 대출 권수 관련,1 / 0,55,2023.10.19,학생지원,학술지원
7788,중앙도서관 대학원 휴학생 대출권수 상향을 건의드립니다.,1 / 0,34,2023.10.19,학생지원,학술지원
7787,[중앙도서관] 대학원 휴학생 최대 대출 권수 상향 의건,4 / 0,152,2023.10.19,학생지원,학술지원
7786,원격강의 재사용 금지를 촉구합니다,7 / 1,149,2023.09.29,기타,
7785,주제별음악학I (학수번호 36628)' 인문예술미디어 전공강의 인정 건의,0 / 0,2,2023.09.29,대학,
7784,중앙도서관 미디어스테이지 주말 및 공휴일 운영시간 연장 건의,1 / 0,56,2023.09.26,생활지원,공간사용
7783,공학관에 통신사 중계기 설치를 요청합니다.,0 / 0,97,2023.09.15,학생지원,학술지원
7782,공학관 식당 개선,0 / 0,80,2023.09.14,생활지원,식당
7781,본교의 위상에 걸맞는 ESG 경영 추진을 제안합니다,0 / 0,326,2023.09.08,기타,
7780,수강할 수 있는 강의 분반과 강의실을 늘려주거나 계절에도 전공을 개설해주세요,0 / 0,1,2023.09.05,행정지원,학사운영 전반에 관한 업무
7779,공학관에 휴게시설을 만들어주세요,188 / 0,687,2023.09.03,생활지원,공간사용
7778,2년 이상 폐강되는 수업의 경우 재수강을 다른 수업을 통해 할 수 있게 해주세요,0 / 0,147,2023.08.30,기타,
7777,새롭게 도입되는 한우리집행 노선 수정 요청합니다.,163 / 0,552,2023.08.29,기타,
7776,셔틀버스 공대직행 노선의 폐지를 반대합니다.,157 / 0,526,2023.08.29,기타,
7775,열람실 인근 이화상점 노래를 틀지 못하게 해주세요.,0 / 0,3,2023.08.11,기타,
7774,우선수강신청 방식 변경 건의합니다,0 / 0,0,2023.08.10,행정지원,학교관련 제도
7773,인공지능학과 수업 분반을 늘려주세요,0 / 0,2,2023.08.09,대학,
7772,정규학기 등록학점 구간 별 등록금 제도를 제안합니다,0 / 0,70,2023.08.09,행정지원,학교관련 제도
7771,인문예술미디어 타전공선택 교과목 종류를 개선해 학습권을 보장해주세요,0 / 0,5,2023.07.20,대학,
7770,포스코관 청소 노동자분들의 근로 환경 개선 관련해 건의드립니다. ,4 / 0,60,2023.07.20,기타,
7769,교내 환경 개선,4 / 0,83,2023.07.19,생활지원,편의시설
7768,포스코관 청소 노동자분들의 근로 환경 개선 관련해 건의드립니다,0 / 0,0,2023.07.19,기타,
7767,포스코관 청소 노동자분들의 근로 환경 개선 관련해 건의드립니다.,3 / 0,43,2023.07.18,기타,
7766,포스코관 청소 노동자분들의 근로 환경 개선 관련해 건의드립니다. ,14 / 0,85,2023.07.18,기타,
7765,[제안] 교내 지속가능성 부서 및 지속가능발전 관련 기초 교양 교과목 개설과 관련하여 제안드리고 싶습니다.,0 / 0,49,2023.07.17,행정지원,학사운영 전반에 관한 업무
7764,화공신소재공학과 교육과정 개편,0 / 0,1,2023.07.17,대학,
7763,경제학과 전공 강의 추가 개설 요청드립니다.,0 / 0,5,2023.07.15,대학,
7762,경제학과 교수 충원 및 추가 개설 요구드립니다.,0 / 0,1,2023.07.15,대학,
7761,한우리집 101동 에어컨 청소 및 기숙사 방치에 대한 건입니다.,0 / 0,68,2023.07.12,생활지원,기숙사
7760,장애학생지원센터의 인력충원을 건의합니다.,0 / 0,2,2023.07.01,학생지원,장애학생지원
7759,장애학생지원센터의 인력충원을 건의합니다.,0 / 0,0,2023.06.30,학생지원,장애학생지원
7758,장애학생지원센터의 인력충원을 건의합니다.,0 / 0,1,2023.06.30,학생지원,장애학생지원
7757,장애학생지원센터의 인력충원을 건의합니다.,0 / 0,0,2023.06.30,학생지원,장애학생지원
7756,장애학생지원센터 인력충원을 건의합니다.,0 / 0,12,2023.06.29,학생지원,장애학생지원
7755,한우리집 101동 에어컨 청소를 진행해주시길 바랍니다.,1 / 0,30,2023.06.27,생활지원,기숙사
7754,한우리집 101동 에어컨 청소 또는 교체를 요구합니다.,1 / 0,23,2023.06.26,생활지원,기숙사
7753,한우리집 101동 에어컨 청소를 진행해주십시오.,1 / 0,21,2023.06.26,생활지원,기숙사
7752,한우리집 101동의 에어컨을 조속히 청소해주십시오.,2 / 0,79,2023.06.19,생활지원,기숙사
7751,한우리집 101동 에어컨 교체를 통해 기숙사생의 기관지과 건강을 지켜주세요,5 / 0,79,2023.06.19,생활지원,기숙사
7750,이화여대 교육기술실 홈페이지 개선 건의,0 / 0,108,2023.06.11,기타,
7749,Petition for an Environmentally Friendly and  Sustainable Ewha / 환경 친화적이고 지속 가능한 이화를 위한 청원,13 / 0,130,2023.06.06,기타,
7748,교통약자를 위한 이동수단 마련,3 / 0,68,2023.05.31,학생지원,장애학생지원
7747,교내 학식당 음식물 쓰레기 감축 방안 제안,0 / 0,1,2023.05.24,기타,
7746,테이크아웃 컵 분리배출 안내판 및 배출통 건의,0 / 0,4,2023.05.23,기타,
7745,경영대학 도서관 개방 건의,0 / 0,2,2023.05.23,생활지원,공간사용
7744,셔틀버스 관련 4가지 사항 문의드립니다.,83 / 0,454,2023.05.17,기타,
7743,장애인 주차 등록 관련,0 / 0,0,2023.05.16,학생지원,장애학생지원
7742,"박사과정생 기숙사 지원 범위를 넓혀주세요	",0 / 0,1,2023.05.16,생활지원,기숙사
7741,행정고시 외무고시 1차 합격장려금 휴학생제외,0 / 0,69,2023.05.15,학생지원,고시지원
7740,Donor's Card 학생증 모양으로 재발급 건의,0 / 0,0,2023.05.08,학생지원,학생증발급
7739,석사 성적증명서에 이수구분(교과목구분) 표기 요청,0 / 0,1,2023.05.03,행정지원,학사운영 전반에 관한 업무
7738,학교 및 학과별 홈페이지 업데이트,0 / 0,1,2023.05.01,기타,
7737,진선미 식당 학생이용시간 제한을 풀어주십시오.(학생들에게 합리적인 가격으로 양질의 밥을 먹게 하는 것은 어른의 의무입니다),2 / 1,123,2023.04.29,생활지원,식당
7736,중앙도서관 먼지 청소 관련,1 / 0,77,2023.04.27,생활지원,공간사용
7735,도서관 상호대차 서비스 학부생까지 범위 확대해주세요.,1 / 0,102,2023.04.14,학생지원,학술지원
7734,천원의 아침밥'사업 본교의 참여 제안,16 / 2,225,2023.04.09,생활지원,식당
7733,학점 포기제도 부활,0 / 0,3,2023.04.08,행정지원,학교관련 제도
7732,천원의 아침밥' 사업,8 / 0,152,2023.04.05,생활지원,식당
7731,교내 음료 분리수거 체계 확립 및 홍보 바랍니다.,3 / 0,104,2023.04.04,기타,
7730,E-house 정숙시간 알림 방송을 해주세요.,1 / 0,113,2023.03.28,생활지원,기숙사
7729,운동장에 야외 농구 코트를 설치해주세요,6 / 0,85,2023.03.27,학생활동,중앙동아리
7728,컴퓨터공학과 서성현 강사 파면 요구,6 / 0,412,2023.03.23,대학,
7727,ECC B204 컴퓨터실습실 화장실 냄새 개선을 부탁드립니다.,0 / 0,129,2023.03.21,생활지원,공간사용
7726,공인회계사 고시반 운영시간을 늘려주셨으면 좋겠습니다,0 / 0,100,2023.03.19,학생지원,고시지원
7725,동창회관 교직원 식당 폐쇄에 따른 대체공간 마련 제안,10 / 0,222,2023.03.11,생활지원,식당
7724,아이하우스 와이파이가 자꾸 끊깁니다.,0 / 0,50,2023.03.08,생활지원,기숙사
7723,학생들의 편의와 학내 학업 분위기 조성을 위해 주말 ecc ybm 열람실 개방을 건의합니다.,2 / 0,107,2023.03.06,생활지원,공간사용
7722,아이하우스 기숙사 조명을 밝게 해주셨으면 합니다.,1 / 0,60,2023.02.26,생활지원,기숙사
7721,수영장 신설,7 / 0,119,2023.02.25,학생활동,중앙동아리
7720,솟을관 사생 기숙사 체력단련실 프로그램 참가,0 / 0,0,2023.02.25,생활지원,기숙사
7719,중앙도서관에도 셔틀버스 운영해주세요,0 / 0,0,2023.02.23,기타,
7718,교내 셔틀버스 노선을 후문을 포함해서 다양화해주세요,3 / 0,133,2023.02.14,기타,
7717,경복궁역 셔틀버스 운행을 재개해주시기 바랍니다,4 / 0,114,2023.02.13,기타,
7716,후배사랑멘토에 대학원 진학자 등록을 허용할 것을 제안 합니다.,2 / 0,78,2023.02.10,학생활동,멘토링
7715,수강신청 관련하여 프로그램 상 개선점 건의합니다.,1 / 0,106,2023.02.07,행정지원,학교관련 제도
7714,셔틀버스 안내 표지판 시간표,0 / 0,0,2023.01.30,기타,
7713,비정년계열교원에 대한 직급체계 차별의 철폐,25 / 0,429,2023.01.16,기타,
7712,ecc 열람실 노트북 사용 공간을 확충해주세요.,0 / 0,0,2023.01.11,생활지원,공간사용
7711,ECC가 베리어프리 존이 되기 위해 다음의 내용을 건의하는 바입니다!,11 / 0,164,2023.01.10,생활지원,공간사용
7710,한우리 엘리베이터 에너지 절감은 부적절합니다,0 / 0,1,2023.01.10,생활지원,기숙사
7709,ECC가 베리어프리 존이 되기 위해 다음의 내용을 건의하는 바입니다!,0 / 0,8,2023.01.07,생활지원,공간사용
7708,생활관 소극장 공간 사용 규제를 완화시켜주세요.,0 / 0,0,2022.12.26,생활지원,공간사용
7707,7700번 강의료에 산정에 대한 답글에 대한 의견,0 / 0,143,2022.12.17,행정지원,학사운영 전반에 관한 업무
7706,관리요원분들이 추위를 피할 수 있도록 이동식 천막(투명부스) 설치를 요청드립니다.,9 / 0,148,2022.12.15,생활지원,공간사용
7705,공대 셔틀버스에 안전바 설치를 건의합니다.,4 / 0,112,2022.12.13,기타,
7704,도서관 국내 전자 신문 시범 서비스가 유지되었으면 좋겠습니다.,1 / 0,60,2022.12.11,학생지원,학술지원
7703,모든 학과의 주복수전공생에게 본인 전공 교과목 수강신청 우선권을 주세요,0 / 0,67,2022.12.10,행정지원,학교관련 제도
7702,헬렌관 앞 시설정비 부탁드립니다.,0 / 0,3,2022.11.28,대학,
7701,채플 방식의 지속적 개선 및 채플 학기 축소,0 / 0,1,2022.11.19,행정지원,학사운영 전반에 관한 업무
7700,공정한 강의료 산정 요구,1 / 0,231,2022.11.03,행정지원,학사운영 전반에 관한 업무
7699,학내 합동분향소 설치 예정이신지 문의드립니다.,0 / 0,4,2022.11.03,학생지원,행사지원
7698,"Colleg English, Advance English 면제를 위한 성적표 제출 기한을 늘려주세요.",0 / 0,1,2022.11.02,대학,학사운영 전반에 관한 업무
7697,이하우스 기숙사 내 헤어드라이어의 허용 전력을 높여주세요,0 / 0,81,2022.11.02,생활지원,기숙사
7696,한우리집 기숙사식당 조식 시간을 앞당겼으면 좋겠습니다.,0 / 0,90,2022.10.31,생활지원,기숙사
7695,이화에서 제공하는 전자저널 Databases & Journals에서 Bloomberg 도 추가 되었으면 합니다,0 / 0,77,2022.10.31,대학,
7694,ECC  컴퓨터 열람실 책상에 번호가 적혀져 있으면 합니다,0 / 0,78,2022.10.31,생활지원,공간사용
7693,안전교육 '실습' 교과목 혹은 일일교육 신설 건의드립니다.,0 / 0,63,2022.10.30,대학,
7692,단풍은 들지만 날씨는 춥네요.,1 / 3,202,2022.10.27,기타,
7691,생협 카페 디카페인 커피 메뉴 추가,0 / 0,76,2022.10.27,기타,
7690,학문관 수선실 강아지 뽀미뽀삐의 출입을 다시 허용해주세요.,4 / 0,144,2022.10.27,기타,
7689,학문관 수선실 강아지의 원천적 출입금지 조치는 과도합니다.,8 / 0,110,2022.10.26,기타,
7688,학문관 뽀미와 뽀삐의 출입을 허용해주세요,11 / 0,125,2022.10.26,기타,
7687,정시 모집 요강 이화그린으로 바꿔주세요,13 / 0,106,2022.10.25,행정지원,입학 및 학사운영
7686,캐리어와 같은 큰 짐을 보관할 수 있는 사물함(장소)을 만들어주시길 제안드립니다.,0 / 0,9,2022.10.20,생활지원,공간사용
7685,이화봉사단 개선사항,0 / 0,2,2022.10.17,학생활동,사회봉사
7684,정시 모집 요강 디자인 변경,0 / 0,0,2022.10.14,행정지원,입학 및 학사운영
7683,공대 와이파이 개선해주세요.,0 / 0,1,2022.10.13,대학,
7682,이화의 색을 견고히 해주세요.,0 / 0,2,2022.10.13,기타,
7681,교내 운동장 개선을 건의합니다,0 / 0,1,2022.10.13,생활지원,공간사용
7680,정시모집요강 디자인 변경 요청드립니다.,0 / 0,0,2022.10.12,행정지원,입학 및 학사운영
7679,입학키트에 이화그린 의류 품목 추가 건의드립니다.,0 / 0,71,2022.10.12,행정지원,입학 및 학사운영
7678,정시모집요강 디자인 변경 요청,0 / 0,0,2022.10.12,행정지원,입학 및 학사운영
7677,이화의 정체성 존속을 위한 제의,0 / 0,0,2022.10.12,행정지원,입학 및 학사운영
7676,정시모집요강 디자인 변경 요청드립니다,0 / 0,0,2022.10.12,행정지원,입학 및 학사운영
7675,정시 모집 요강 디자인 변경 요청드립니다.,0 / 0,0,2022.10.12,행정지원,입학 및 학사운영
7674,정시모집요강 디자인 변경 요청,0 / 0,1,2022.10.12,행정지원,입학 및 학사운영
7663,학부 정시 입시요강 디자인 제안드립니다.,0 / 0,48,2022.10.11,행정지원,입학 및 학사운영
7662,이화그린 학교 홍보 관련해 건의드립니다.,0 / 0,0,2022.10.11,행정지원,입학 및 학사운영
7661,중앙 도서관 지하 층에 키오스크 설치 건의드립니다.,0 / 0,0,2022.10.05,생활지원,공간사용
7660,이하우스 300동 대 자판기 설치,1 / 0,58,2022.10.03,생활지원,기숙사
7659,학교 홍보 및 이화그린 홍보를 강화하고자 건의드립니다.,0 / 0,48,2022.10.03,행정지원,입학 및 학사운영
7658,학교 홍보 및 인색 개선과 관련하여 건의 드립니다.,3 / 0,38,2022.10.03,행정지원,입학 및 학사운영
7657,이화그린 학교 공식색 관련,0 / 0,0,2022.10.02,행정지원,입학 및 학사운영
7656,학교 홍보 방향과 공식색 인식 발전을 위해 건의드립니다.,5 / 0,82,2022.10.02,행정지원,입학 및 학사운영
7655,학교 공식색인 이화그린 홍보를 강화해주십시오,5 / 0,79,2022.09.29,행정지원,입학 및 학사운영
7654,공인회계사 고시반 와이파이 환경 개선을 부탁드립니다.,0 / 0,42,2022.09.28,학생지원,고시지원
7653,미리캔버스 에듀 학교차원의 신청을 부탁드립니다.,0 / 0,57,2022.09.27,학생지원,학술지원
7652,ECC 헬스장에 파워렉 설치를 건의합니다.,1 / 0,85,2022.09.20,생활지원,공간사용
7651,"온, 오프라인 수업 동시 운영",0 / 0,8,2022.08.31,행정지원,학사운영 전반에 관한 업무
7650,수영장 재운영 건의,0 / 0,0,2022.08.22,생활지원,공간사용
7649,셔틀 점심시간 운행,0 / 0,5,2022.08.11,기타,
7648,대학원수업 일부 비대면운영 제안드립니다,0 / 0,3,2022.08.03,대학,
7647,2학기 채플 비대면 운영 건의드립니다,0 / 0,24,2022.07.27,행정지원,학사운영 전반에 관한 업무
7646,셔틀 시간 및 노선 변경 제안,0 / 0,4,2022.07.24,기타,
7645,코로나 2차 대유행 예상에 따른 대면•비대면 수업의 연장을 건의합니다.,0 / 0,4,2022.07.18,행정지원,학사운영 전반에 관한 업무
7644,교내에 잠자리가 많이 보여서 정말 다행스럽습니다,4 / 1,199,2022.07.09,생활지원,편의시설
7643,이화 디자인 센터/디자인 전담 부서를 만드는 것을 제안합니다,0 / 0,3,2022.07.04,기타,
7642,대면 수업 진행 시 노트북 장기대여 운영,0 / 0,2,2022.06.22,학생지원,학술지원
7641,조형예술대학 서양화과 1학년 실기실을 개선해주십시오.,3 / 0,94,2022.06.21,대학,
7640,중앙도서관 24시간 개방,0 / 0,2,2022.05.21,생활지원,공간사용
7639,시각장애인을 위한 교내 시설 개선을 건의합니다.,4 / 0,91,2022.05.21,학생지원,장애학생지원
7638,[교내 야생조류 유리창 충돌] 이화역사관에 야생조류 유리창 충돌 저감조치 시공 또는 학생 주최 시공 허가를 해주시기 바랍니다.,40 / 0,260,2022.05.15,행정지원,학사운영 전반에 관한 업무
7637,중앙동아리 활동 인증서 발급,1 / 0,66,2022.05.15,학생활동,중앙동아리
7636,미화원 휴게실 누수문제 해결 바랍니다.,8 / 0,151,2022.05.10,생활지원,편의시설
7635,"일반인 대상으로 온,오프라인 여성학 강의를 진행시켜주세요",0 / 0,3,2022.05.04,기타,
7634,학과개설 제안,0 / 0,5,2022.05.04,행정지원,학사운영 전반에 관한 업무
7633,기숙사 상점제도를 늘려주세요.,1 / 0,81,2022.04.29,생활지원,기숙사
7632,고시 지원,1 / 0,100,2022.04.17,학생지원,고시지원
7631,정부의 거리두기 해제와 대면전환에 대하여,0 / 0,6,2022.04.16,기타,
7630,이씨씨 강의실 대여하면 안되나요?,0 / 0,0,2022.04.15,생활지원,공간사용
7629,연구산학 - 연구비처리 방식 개선 요청드립니다.,0 / 0,86,2022.04.14,학생지원,학술지원
7628,"ESS, 음성증명서 발급 등 서비스 확대",0 / 0,48,2022.04.13,학생지원,학술지원
7627,어학특기자 공인어학성적 유효기간 2년에 맞추어 인정일 기준 변경을 희망합니다.,0 / 0,0,2022.04.04,행정지원,학교관련 제도
7626,"정문, ECC 및 학내 시설 점자블록 개선 요청합니다.",16 / 0,163,2022.04.02,기타,
7625,장애학생도우미 확충 방안,1 / 0,99,2022.04.02,학생지원,장애학생지원
7624,기숙사 벌점 및 퇴사제도에 변화가 필요합니다.,2 / 0,88,2022.04.02,생활지원,기숙사
7623,확진자 수가 폭발적인 가운데 계속 대면으로 전환하려고만 하지 말아주세요,0 / 4,84,2022.04.01,기타,
7622,열람실 3시간 제한을 풀어주세요,0 / 0,0,2022.04.01,생활지원,공간사용
7621,운동 장소 관련 건의드립니다.,17 / 0,173,2022.03.18,생활지원,공간사용
7620,국가근로장학생 추가신청 운영,0 / 0,2,2022.03.18,학생지원,학술지원
7619,학교에 대한 악의적이고 의도적인 비방성 게시글과 인스타그램 계정을 운영하는 사용자를 학교측에서 대응 및 고소해주세요.,353 / 0,1154,2022.03.12,기타,
7618,이화여대에 대한 지속적인 비난과 조롱에 대응해주세요.,0 / 0,4,2022.03.12,기타,
7617,"이대남, 이대녀라는 표현에 대해 학교측에서 헌법소원 제기할 생각은 없으신가요",0 / 0,5,2022.03.09,기타,
7616,신공학관 식권 구매 및 석식 운영에 관하여 건의드립니다.,0 / 0,3,2022.03.03,생활지원,식당
7615,학교의 편입생 차별에 대한 변화요구,0 / 0,1,2022.03.03,행정지원,학교관련 제도
7614,대면 수업 진행 시 유증상자에 해당할 경우 어떻게 수업에 참여할 수 있는지 구체적인 가이드라인 제시를 요구합니다,0 / 0,1,2022.02.23,행정지원,학사운영 전반에 관한 업무
7613,편입생 행정 처리 관련 개선 요청의 건,0 / 0,1,2022.02.22,행정지원,학교관련 제도
7612,편입학 각종 행정 관련하여 문의드립니다.,0 / 0,0,2022.02.16,행정지원,학교관련 제도
7611,이화여자대학교 내의 차별에 대한 변화를 요구합니다.,0 / 0,2,2022.02.16,행정지원,학교관련 제도
7610,Follow up on our suggestion No. 7562 posted on 2021.12.10,0 / 0,9,2022.02.15,기타,
7609,이화여대 입결에 대한 루머를 작성한 기사에 대한 강경 대응 부탁드립니다.,9 / 0,112,2022.02.06,기타,
7608,간편자료대출시스템을 요청합니다.,0 / 0,3,2022.02.05,생활지원,공간사용
7607,인프런 대학 제휴 제안드립니다.,0 / 0,76,2022.01.31,학생지원,학술지원
7606,‘수만휘’ 카페 악성 게시물 강경대응 부탁드립니다.,0 / 0,1,2022.01.30,기타,
7605,‘고속성장분석기’ 대응 부탁드립니다.,7 / 0,88,2022.01.30,기타,
7604,학교 이름을 악의적으로 보도하고 있는 기사에 조치를 취해주시길 바랍니다.,5 / 0,67,2022.01.30,기타,
7603,대면 수업 활성화를 요구드립니다.,4 / 0,65,2022.01.27,기타,
7602,70명 미만 수업의 수업방식 변경 금지,8 / 0,95,2022.01.27,기타,
7601,웹사이트 편의성,0 / 0,41,2022.01.26,기타,
7600,인터넷 관리바람,0 / 0,0,2022.01.25,기타,
7599,올해 정시전형 입결을 많은 이들이 볼 수있게끔 공개해주시면 좋겠습니다.,2 / 0,134,2022.01.22,행정지원,입학 및 학사운영
7598,2022년 1학기 대면 수업 확대를 요청합니다,0 / 0,0,2022.01.20,행정지원,학사운영 전반에 관한 업무
7597,2022-1학기 수업방식에 대해 건의드립니다.,0 / 0,2,2022.01.20,행정지원,학사운영 전반에 관한 업무
7588,2022년 1학기 수업 방침 변경 제안합니다.,0 / 0,0,2022.01.20,행정지원,학사운영 전반에 관한 업무
7587,1학기 수업 운영 방식 변경을 부탁드립니다.,0 / 0,1,2022.01.20,행정지원,학사운영 전반에 관한 업무
7568,2022-1학기 수업 방침을 변경할 것을 제안합니다.,32 / 0,168,2022.01.19,행정지원,학사운영 전반에 관한 업무
7567,대면(선택) 수업의 기준을 '대면 희망 인원'에 둘 것을 제안합니다.,30 / 3,181,2022.01.18,행정지원,학사운영 전반에 관한 업무
7566,디자인학부 전공필수 커리큘럼 변경 제안,2 / 0,57,2022.01.13,대학,
7565,1급 자격증과 졸업 관련,0 / 0,2,2022.01.10,학생지원,학술지원
7564,과목,0 / 0,4,2022.01.03,기타,
7563,이화동창 - 이화전문직 구성원에 기술사를 포함시켜 주세요,0 / 0,2,2021.12.31,기타,
7562,국가근로 시간연장,0 / 0,0,2021.12.25,기타,
7561,제발 학교 대외인식 관리 좀 해주세요,0 / 0,2,2021.12.24,기타,
7560,"전국 확진자 7천 명, 수도권 확진자 5천 명을 넘은 요즘 대면시험으로 인한 지방 코로나 확산이 염려됩니다.",0 / 0,3,2021.12.10,기타,
7559,Ewha's contribution to achieve carbon neutrality and  the Paris climate goals,4 / 0,88,2021.12.10,기타,
7558,"각종 증명서, 전자 문서화 필요",0 / 0,57,2021.12.08,학생지원,학술지원
7557,대면 수업 및 시험 강행 취소 및 유증상시의 구체적인 가이드라인 제시 요구,0 / 0,4,2021.12.08,행정지원,학사운영 전반에 관한 업무
7556,도서관 및 열람실 백신패스 적용 반대,0 / 0,2,2021.12.07,생활지원,공간사용
7555,"편입생도 우등 졸업, 최우등 졸업으로 인정해주세요.",1 / 0,116,2021.11.24,행정지원,학교관련 제도
7554,이화뉴스 내용 확인 부탁드립니다,0 / 0,135,2021.11.21,기타,
7553,대외협력처에 고시반 기금도 생겼으면 좋겠습니다!,0 / 0,2,2021.11.20,학생지원,고시지원
7552,교육대학원의 박문각 임용 사이트와 제휴를 바랍니다.,0 / 0,0,2021.11.15,학생지원,학술지원
7551,조예대 실기실 야간 작업 가능하게 해주세요,0 / 0,0,2021.11.02,대학,
7550,계절학기 관련 제안 드립니다.,0 / 0,4,2021.10.15,행정지원,학교관련 제도
7549,음악대학 졸업연주회 관객제한을 풀어주세요,0 / 0,1,2021.10.15,생활지원,공간사용
7548,1학기 휴학시 수강신청 관련,0 / 0,14,2021.10.03,행정지원,학사운영 전반에 관한 업무
7547,비대면강의 품질(음질) 향상을 위한 마이크 지원을 요청합니다.,0 / 0,19,2021.09.26,학생지원,학술지원
7546,신공학관 샤워실을 학생이 사용할 수 있도록 해주시길 바랍니다.,0 / 0,11,2021.09.24,대학,
7545,외부인 출입통제를 요구합니다 (상업적 목적 촬영 금지),0 / 0,4,2021.09.17,기타,
7544,도서관 전자자료 동영상강좌의 수강인원을 늘려주셨으면 합니다.,0 / 0,76,2021.09.15,생활지원,공간사용
7543,이화여자대학교에 행정 개선을 요구합니다.,0 / 0,3,2021.09.08,행정지원,학사운영 전반에 관한 업무
7542,"ECC 라운지, 학문관 라운지, 세미나실 개방을 요구합니다",6 / 3,147,2021.09.02,생활지원,공간사용
7541,조예대 실기실 이용시간 건의합니다.,0 / 0,1,2021.08.29,대학,
7540,조예대 실기실 이용에 대해 건의합니다,0 / 0,2,2021.08.29,대학,
7539,조예대 실기실 사용시간 건의합니다,0 / 0,0,2021.08.29,대학,
7538,조예대 실기실 개방요구합니다.,12 / 0,101,2021.08.29,대학,
7537,실기실 개방 건 요구합니다 (많이 봐주세요),25 / 0,171,2021.08.29,대학,
7536,음악관 연습실을 개방해 주세요.,10 / 0,114,2021.08.22,대학,
7535,음악대학 연습실 개방 요구합니다,0 / 0,0,2021.08.21,대학,
7534,음악대학 연습실을 개방해주세요.,0 / 0,0,2021.08.21,대학,
7533,음악관 연습실 개방을 요구합니다,0 / 0,0,2021.08.21,대학,
7532,음악실개방을 요구합니다.,0 / 0,0,2021.08.21,대학,
7531,음악관 연습실 개방을 요구합니다.,0 / 0,0,2021.08.21,대학,
7530,음악관 연습실 개방을 허락해주세요,0 / 0,0,2021.08.21,대학,
7529,"음악대학 연습실 개방을 요청합니다. 연습을 매일 해야하는 음대생들이 음대의 폐쇄로 인해 실기실력이 감소하고, 결국 사비를 들여(한달에 최소 30 이상) 겨우 연습하고 있습니다.",120 / 0,404,2021.08.21,대학,
7528,음악관 연습실 개방을 요구합니다.,66 / 0,188,2021.08.20,대학,
7527,음악관 연습실을 개방해주세요,0 / 0,0,2021.08.20,대학,
7516,음악대학 연습실 사용건에 관하여,25 / 0,88,2021.08.20,대학,
7515,음악대학 연습실 9월 1일 개방을 요청드립니다.,30 / 0,129,2021.08.20,대학,
7514,조형예술대학 코로나4단계에 따른 실기실 전면폐쇄 조치 개선 요구드립니다.,54 / 0,266,2021.08.20,대학,
7513,셔틀버스 운행에 관련한 건,2 / 1,68,2021.08.19,기타,
7512,기숙사 내 체육시설 운영을 요청드립니다.,3 / 0,58,2021.08.18,생활지원,기숙사
7511,2021학년도 2학기 3학점 추가를 요청합니다.,0 / 0,5,2021.08.18,행정지원,학교관련 제도
7510,이화 앱의 오류를 시정해주세요.,0 / 0,62,2021.08.16,기타,
7509,"복수전공하는 학생 1500명, 우선수강신청하는 타과생과 호크마생의 수업 침해",0 / 0,2,2021.08.12,행정지원,학사운영 전반에 관한 업무
7508,복수전공하는 학생 1500명과 호크마생의 수업권 보호를 위해,0 / 0,0,2021.08.12,행정지원,학사운영 전반에 관한 업무
7507,복수전공하는 학생 1500명과 호크마생의 수업권 보호를 위해,0 / 0,0,2021.08.12,행정지원,학사운영 전반에 관한 업무
7506,행정적 차별을 시행하며 1500명 넘는 복전생을 방치하는 경영대학 행정실에 항의합니다.,0 / 0,2,2021.08.12,행정지원,학사운영 전반에 관한 업무
