                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.77377,                 0.3734,                0.93082,                0.99709,                      1,                  0.995,                 0.8266,                0.75833,                 0.3397,                0.96539,               0.000614,               0.000614,               0.000614
                     38,                0.80839,                0.37191,                 0.9363,                  0.997,                      1,                  0.995,                0.80912,                0.73933,                0.32955,                0.95601,              0.0005744,              0.0005744,              0.0005744
                     39,                0.79727,                0.37142,                0.91895,                 0.9974,                      1,                  0.995,                0.81208,                0.72077,                0.32739,                0.94844,              0.0005348,              0.0005348,              0.0005348
                     40,                0.81443,                0.37267,                0.92826,                0.99749,                      1,                  0.995,                0.83312,                 0.7158,                0.32242,                0.93669,              0.0004952,              0.0004952,              0.0004952
                     41,                0.78298,                0.34587,                0.93566,                 0.9975,                      1,                  0.995,                0.82655,                0.72482,                0.31672,                0.94606,              0.0004556,              0.0004556,              0.0004556
                     42,                0.73598,                0.33038,                0.93374,                0.99762,                      1,                  0.995,                0.83827,                0.71875,                0.30304,                 0.9346,               0.000416,               0.000416,               0.000416
                     43,                0.74699,                0.34247,                0.94098,                 0.9974,                      1,                  0.995,                0.81336,                0.76633,                0.32339,                0.97285,              0.0003764,              0.0003764,              0.0003764
                     44,                0.76033,                0.34387,                0.93805,                0.99748,                      1,                  0.995,                0.82178,                0.76429,                0.31547,                0.96323,              0.0003368,              0.0003368,              0.0003368
                     45,                0.75194,                 0.3315,                0.92753,                0.99755,                      1,                  0.995,                 0.8224,                0.74627,                0.30132,                 0.9537,              0.0002972,              0.0002972,              0.0002972
                     46,                0.71221,                0.32772,                 0.9257,                0.99752,                      1,                  0.995,                 0.8286,                0.71211,                0.30603,                0.94487,              0.0002576,              0.0002576,              0.0002576
                     47,                0.76012,                0.32908,                0.94294,                 0.9976,                      1,                  0.995,                0.82558,                0.72731,                0.31444,                0.95422,               0.000218,               0.000218,               0.000218
                     48,                0.73593,                0.32529,                0.92168,                0.99768,                      1,                  0.995,                0.82409,                0.74895,                0.31497,                0.96763,              0.0001784,              0.0001784,              0.0001784
                     49,                0.72055,                0.31801,                0.91515,                0.99767,                      1,                  0.995,                0.83054,                0.74461,                0.30289,                0.95824,              0.0001388,              0.0001388,              0.0001388
                     50,                0.70841,                0.31671,                0.95021,                0.99767,                      1,                  0.995,                0.85099,                0.73053,                0.29584,                 0.9466,               9.92e-05,               9.92e-05,               9.92e-05
