                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.93576,                0.43029,                 1.0898,                 0.9974,                      1,                  0.995,                0.78187,                0.88115,                0.36319,                 1.0447,              0.0006536,              0.0006536,              0.0006536
                     37,                0.80493,                0.40069,                 1.0259,                0.99739,                      1,                  0.995,                0.77569,                0.92592,                0.37876,                 1.0485,               0.000614,               0.000614,               0.000614
                     38,                 0.8421,                0.41139,                 1.0183,                0.99744,                      1,                  0.995,                0.75543,                0.94224,                 0.3785,                 1.0662,              0.0005744,              0.0005744,              0.0005744
                     39,                0.90517,                0.41858,                 1.0761,                0.99749,                      1,                  0.995,                0.78178,                0.89776,                0.39276,                   1.09,              0.0005348,              0.0005348,              0.0005348
                     40,                0.81079,                0.40557,                 1.0238,                0.99741,                      1,                  0.995,                0.79719,                 0.8358,                0.36113,                 1.0297,              0.0004952,              0.0004952,              0.0004952
                     41,                0.86376,                0.37419,                 1.0753,                0.99722,                      1,                  0.995,                0.75382,                0.87722,                0.37676,                 1.0377,              0.0004556,              0.0004556,              0.0004556
                     42,                0.81661,                0.37712,                    1.1,                 0.9971,                      1,                  0.995,                0.77817,                0.88548,                0.39759,                 1.0322,               0.000416,               0.000416,               0.000416
                     43,                0.86899,                0.37069,                 1.0991,                0.99735,                      1,                  0.995,                0.79197,                0.85937,                0.35899,                 1.0096,              0.0003764,              0.0003764,              0.0003764
                     44,                0.83393,                0.36665,                 1.0774,                0.99751,                      1,                  0.995,                0.78398,                0.83685,                0.34156,                 1.0357,              0.0003368,              0.0003368,              0.0003368
                     45,                0.84192,                0.36494,                 1.1186,                0.99741,                      1,                  0.995,                0.80447,                0.82378,                 0.3592,                 1.0292,              0.0002972,              0.0002972,              0.0002972
                     46,                0.79873,                 0.3402,                 1.0562,                0.99737,                      1,                  0.995,                0.78086,                0.89847,                0.35842,                 1.0556,              0.0002576,              0.0002576,              0.0002576
                     47,                0.84848,                0.35065,                 1.0712,                0.99731,                      1,                  0.995,                0.77346,                0.96109,                0.37954,                 1.0883,               0.000218,               0.000218,               0.000218
                     48,                0.80904,                0.34353,                 1.0882,                0.99737,                      1,                  0.995,                0.77628,                0.89853,                0.35925,                 1.0433,              0.0001784,              0.0001784,              0.0001784
                     49,                0.80587,                0.33806,                 1.0901,                0.99738,                      1,                  0.995,                0.77269,                0.88319,                0.34249,                  1.026,              0.0001388,              0.0001388,              0.0001388
                     50,                0.85464,                0.34967,                 1.0385,                0.99741,                      1,                  0.995,                 0.7904,                0.88194,                0.33256,                 1.0222,               9.92e-05,               9.92e-05,               9.92e-05
